timestamp_sample,x_position,y_position,pupil_area_normalized,angular_resolution_x_pixels_per_degree,angular_resolution_y_pixels_per_degree,window_width,window_level,xmin_shown_from_image,ymin_shown_from_image,xmax_shown_from_image,ymax_shown_from_image,xmin_in_screen_coordinates,ymin_in_screen_coordinates,xmax_in_screen_coordinates,ymax_in_screen_coordinates
13.232,975,647,0.687,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.233,976,648,0.688,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.234,977,649,0.688,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.235,978,650,0.688,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.236,979,651,0.688,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.237,979,652,0.688,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.238,979,653,0.688,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.239,979,653,0.687,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.24,979,652,0.687,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.241,979,651,0.687,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.242,979,649,0.686,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.243,979,648,0.686,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.244,979,646,0.685,84,85,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.245,980,645,0.685,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.246,979,643,0.684,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.247,979,642,0.684,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.248,978,642,0.684,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.249,977,642,0.684,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.25,976,643,0.684,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.251,976,643,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.252,975,644,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.253,974,644,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.254,973,644,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.255,973,645,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.256,972,645,0.684,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.257,971,645,0.684,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.258,970,645,0.684,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.259,969,645,0.685,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.26,968,645,0.685,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.261,968,645,0.686,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.262,967,645,0.686,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.263,967,644,0.686,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.264,967,644,0.687,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.265,967,643,0.686,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.266,967,643,0.686,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.267,967,642,0.686,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.268,967,642,0.685,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.269,968,641,0.685,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.27,969,642,0.684,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.271,970,642,0.684,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.272,971,642,0.684,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.273,972,642,0.684,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.274,972,643,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.275,973,643,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.276,974,643,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.277,974,643,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.278,974,644,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.279,974,645,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.28,974,645,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.281,975,646,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.282,976,646,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
13.283,976,646,0.683,84,86,0.87622,0.3949,103,273,2544,2434,660,0,3100,2160
